Player-additional,Player,FG%
tatumja01,Jayson Tatum,0.459
doncilu01,Luka Dončić,0.5
gilgesh01,Shai Gilgeous-Alexander,0.511
embiijo01,Joel Embiid,0.541
randlju01,Julius Randle,0.458
lillada01,Damian Lillard,0.465
edwaran01,Anthony Edwards,0.46
antetgi01,Giannis Antetokounmpo,0.542
youngtr01,Trae Young,0.436
mitchdo01,Donovan Mitchell,0.478
lavinza01,Zach LaVine,0.478
foxde01,De'Aaron Fox,0.514
markkla01,Lauri Markkanen,0.505
derozde01,DeMar DeRozan,0.509
brownja02,Jaylen Brown,0.49
jokicni01,Nikola Jokić,0.633
brunsja01,Jalen Brunson,0.487
siakapa01,Pascal Siakam,0.472
poolejo01,Jordan Poole,0.429
moranja01,Ja Morant,0.463
jamesle01,LeBron James,0.501
adebaba01,Bam Adebayo,0.543
irvinky01,Kyrie Irving,0.491
greenja05,Jalen Green,0.409
bridgmi01,Mikal Bridges,0.473
porzikr01,Kristaps Porziņģis,0.489
garlada01,Darius Garland,0.468
curryst01,Stephen Curry,0.504
murrade01,Dejounte Murray,0.463
kuzmaky01,Kyle Kuzma,0.447
mccolcj01,CJ McCollum,0.434
grantje01,Jerami Grant,0.475
wagnefr01,Franz Wagner,0.487
roziete01,Terry Rozier,0.417
thompkl01,Klay Thompson,0.436
sabondo01,Domantas Sabonis,0.609
bogdabo02,Bojan Bogdanović,0.488
simonan01,Anfernee Simons,0.449
clarkjo01,Jordan Clarkson,0.444
barrerj01,RJ Barrett,0.433
banchpa01,Paolo Banchero,0.425
butleji01,Jimmy Butler,0.526
johnske04,Keldon Johnson,0.448
georgpa01,Paul George,0.457
duranke01,Kevin Durant,0.566
dinwisp01,Spencer Dinwiddie,0.444
vucevni01,Nikola Vučević,0.509
hieldbu01,Buddy Hield,0.458
bookede01,Devin Booker,0.492
herroty01,Tyler Herro,0.434
davisan02,Anthony Davis,0.561
mobleev01,Evan Mobley,0.55
holidjr01,Jrue Holiday,0.472
vanvlfr01,Fred VanVleet,0.397
halibty01,Tyrese Haliburton,0.488
aytonde01,Deandre Ayton,0.589
hardeja01,James Harden,0.45
murraja01,Jamal Murray,0.447
russeda01,D'Angelo Russell,0.465
mathube01,Bennedict Mathurin,0.428
bealbr01,Bradley Beal,0.512
trentga02,Gary Trent Jr.,0.434
barnesc01,Scottie Barnes,0.454
lopezbr01,Brook Lopez,0.519
giddejo01,Josh Giddey,0.483
barneha02,Harrison Barnes,0.472
turnemy01,Myles Turner,0.543
washipj01,P.J. Washington,0.442
leonaka01,Kawhi Leonard,0.512
huertke01,Kevin Huerter,0.487
woodch01,Christian Wood,0.521
maxeyty01,Tyrese Maxey,0.47
gordoaa01,Aaron Gordon,0.582
iveyja01,Jaden Ivey,0.412
banede01,Desmond Bane,0.468
quickim01,Immanuel Quickley,0.445
westbru01,Russell Westbrook,0.425
anunoog01,OG Anunoby,0.47
sengual01,Alperen Şengün,0.556
oubreke01,Kelly Oubre Jr.,0.432
huntede01,De'Andre Hunter,0.465
harrito02,Tobias Harris,0.491
valanjo01,Jonas Valančiūnas,0.548
